id_master,c1,c2,stim,category1,category2,relation,obs,obsc1,obsc2,stimlen,c1len,c2len,nparses,correctParse,ratingcmp,ratingC1,ratingC2,isPlural,nc1_cmp,nc2_cmp,nc1_cmpnoplural,nc2_cmpnoplural,sentiment_stim,sentiment_c1,sentiment_c2,sentimentprobpos_stim,sentimentprobpos_c1,sentimentprobpos_c2,sentimentprobneg_stim,sentimentprobneg_c1,sentimentprobneg_c2,sentimentratioposneg_stim,sentimentratioposneg_c1,sentimentratioposneg_c2,profanity_stim,profanity_c1,profanity_c2,isCommonstim,isCommonC1,isCommonC2,bg_boundary,bgJonesMewhort,bgSUBTLEX,bgFacebook,inSUBTLEX,inBLP,inELP,inJuhaszLaiWoodcock,c1_inELP,c1_inBrysbaert,c1_inWordnet,c1_inMMA,c2_inELP,c2_inBrysbaert,c2_inWordnet,c2_inMMA,LSAc1c2,LSAc1stim,LSAc2stim,stim_SLlg10wf,BLPbncfrequency,BLPbncfrequencymillion,BLPrt,elp_ld_rt,elp_naming_mean_rt,c1c2_snautCos,c1stim_snautCos,c2stim_snautCos,fbusfreq,fbukfreq,valence_stim,valence_c1,valence_c2,concreteness_stim,concreteness_c1,concreteness_c2,Juhasz_tran,st_c1_mean,st_c2_mean,Zipfvalue,c1_SLlg10wf,c2_SLlg10wf,c1_BLPbncfrequency,c1_BLPbncfrequencymillion,c2_BLPbncfrequency,c2_BLPbncfrequencymillion
2950,fly,swatter,flyswatter,1,0,9,1,9,1,10,3,7,1,yes,85.699997,83.775002,93.525002,0,23,1,13,1,Positive,Positive,Positive,0.39635709,0.43936697,0.39635709,0.35563472,0.22702578,0.35563472,1.1145061,1.7458682,1.1145061,FALSE,FALSE,FALSE,1,1,1,ys,10.7,159755,3631924,1,0,1,0,1,0,1,1,1,1,1,1,0.36,0.26,0.12,0.47710001,,,,891.1900000000000,795.47998,0.49559599,0.78306198,0.72373402,26.5,0.8,,6.4400001,,5,4.64,4.04,,,,1.768955396864120,3.6371,1.0792,3811,38.110001,2,0.02
8416,watch,band,watchband,0,0,17,1,14,4,9,5,4,1,yes,63.625,74.949997,70.050003,0,14,14,7,14,Positive,Positive,Positive,0.39635709,0.53804439,0.70885777,0.35563472,0.26780811,0.19558337,1.1145061,1.4800041,2.0265377,FALSE,FALSE,FALSE,1,1,1,hb,8.200000000000000,5851,96797,1,0,1,0,1,0,1,1,1,1,1,1,0.24,,,0.90310001,,,,886.03,618.66998,0.87204498,0.797867,0.71649998,3.7,1.7,,5.6900001,6.5300002,5,4.61,4.68,,4.1560001,3.767,2.194924129136400,4.2261,3.4354,9557,95.57,6759,67.589996
5328,nail,brush,nailbrush,3,0,5,1,1,5,9,4,5,1,yes,77.125,67.708336,81.875,0,5,10,4,10,Positive,Positive,Negative,0.39635709,0.49621761,0.14896582,0.35563472,0.2944499,0.48595345,1.1145061,1.3460935,0.81562769,FALSE,FALSE,FALSE,1,1,1,lb,8.6,5257,62536,0,1,0,0,1,0,1,1,1,0,1,1,0.25,,,,2,0.02,709.0625,,,0.66961902,0.68712997,0.54954898,,3.4,,4.7399998,5.3000002,5,4.93,4.54,,,,,2.9786,2.8591001,759,7.5900002,1970,19.700001
7869,taxi,cab,taxicab,0,0,10,1,8,2,7,4,3,1,yes,77.486488,83.594597,81.37838,0,9,1,6,1,Positive,Positive,Positive,0.39635709,0.36913612,0.48539069,0.35563472,0.34244129,0.2768833,1.1145061,1.1574454,1.4314951,FALSE,FALSE,FALSE,1,1,1,ic,12.8,455522,6771282,1,0,1,1,1,1,1,1,1,1,1,1,0.57,0.45,0.35,1.6532,,,,697.9400000000000,651.44,0.21331,0.52851999,0.52655798,36.5,6.8,4.8499999,5.0300002,5,5,4.93,4.88,5.4000001,5.8130002,5.6669998,2.945046655919800,3.1201999,3.2616999,1889,18.889999,1547,15.47
16312,under,shirt,undershirt,6,0,5,1,81,3,10,5,5,1,yes,,,,0,100,3,62,3,Positive,Positive,Positive,0.39635709,0.39635709,0.39589325,0.35563472,0.35563472,0.32722521,1.1145061,1.1145061,1.211267,FALSE,FALSE,FALSE,1,1,1,rs,12.5,418153,7264827,1,0,1,0,1,0,0,1,1,1,1,1,0.33,0.23,0.55,1.2041,,,,776.97,710.69,0.85145599,0.72459698,0.40338501,116.9,10.2,,,5.71,5,3.45,4.94,,,,2.495954124800380,4.1258001,3.3740001,61033,610.33002,2803,28.030001
5940,pocket,book,pocketbook,0,0,5,1,1,31,10,6,4,1,yes,73.295456,78.954544,83.772728,0,5,31,3,31,Negative,Negative,Negative,0.21971543,0.27800319,0.3067174,0.58068955,0.39161396,0.4179844,0.37836987,0.56105107,0.52565461,FALSE,FALSE,FALSE,1,1,1,tb,8.43,5582,244348,1,0,1,1,1,1,1,1,1,1,1,1,0.17,0.38,0.04,1.8865,,,,703.97,636.78998,0.74013603,0.65348202,0.615035,433.9,12.7,5.54,5.5300002,6.9000001,5,4.68,4.9,4.1999998,4.3439999,4.7189999,3.178324867316940,3.2605,3.9554999,3575,35.75,24824,248.24001
1994,craw,fish,crawfish,,,,1,2,97,8,4,4,1,yes,59.933334,36.200001,80.76667,0,4,133,3,133,Positive,Positive,Positive,0.5904457,0.39635709,0.52156067,0.17903927,0.35563472,0.13792123,3.2978559,1.6602589,4.2810354,FALSE,FALSE,FALSE,0,1,1,wf,6.22,4781,37506,1,1,1,0,0,0,1,1,1,1,1,1,-0.01,-0.06,0.18,1.1461,15,0.15000001,714.35294117647,696.74,637.77002,0.85155803,0.83186001,0.47399801,1856.3,15.3,,,6.3699999,5,3.33,5,,,,2.437962177822700,1.2553,3.6293001,,,10894,108.94
3801,hand,saw,handsaw,3,0,21,1,51,13,7,4,3,1,yes,74.675003,77.525002,90.175003,0,64,14,42,14,Positive,Indeterminate,Positive,0.39635709,0.34513924,0.46310464,0.35563472,0.34201968,0.24210973,1.1145061,1.1588721,1.6370969,FALSE,FALSE,FALSE,1,1,1,ds,11,137835,4038708,1,1,1,1,1,1,1,1,1,0,1,1,0.36,0.14,0.22,0.77819997,10,0.1,728.428571428571,798.43,685.73999,0.72993398,0.81492102,0.82258898,29.2,22.9,,5.8800001,4.1500001,5,4.72,4.46,5.71,3.8710001,4.533,2.069985392528100,4.1542001,4.3123002,35352,353.51999,26737,267.37
8766,wood,pile,woodpile,1,0,6,1,2,2,8,4,4,1,yes,84.205132,91.846153,90.07692,0,39,3,26,3,Positive,Negative,Negative,0.39635709,0.34308884,0.24383317,0.35563472,0.36215571,0.38849735,1.1145061,1.0944383,1.0202311,FALSE,FALSE,FALSE,1,1,1,dp,6.09,2648,52556,1,1,1,0,1,1,1,1,1,1,1,1,0.25,0.39,0.1,1.0792,19,0.19,739.388888888889,780.47,679.57001,0.67938697,0.54806602,0.62490797,62.1,28.9,,5.9000001,4.8400002,5,4.85,4.56,,4.29,3.438,2.371015388192090,3.1392,2.8280001,7357,73.57,1857,18.57
7775,switch,blade,switchblade,5,0,10,1,4,2,11,6,5,1,yes,62.299999,49.974998,90.974998,0,5,2,3,2,Positive,Negative,Negative,0.39635709,0.22095314,0.20863503,0.35563472,0.5448314,0.56281066,1.1145061,0.72748578,0.70424587,FALSE,FALSE,FALSE,1,1,1,hb,8.200000000000000,5851,96797,1,1,1,0,1,0,1,1,1,1,1,1,0.06,,,1.3617001,14,0.14,642.233333333333,778.03,891.19,0.82768899,0.82778698,0.67516601,106.9,45,3.45,5.2600002,3.9000001,5,4.07,4.93,,3.313,4,2.653561978162050,3.1568999,2.8222001,3316,33.16,1108,11.08
